Property Name,City,Floor,Room #,Room Type,Bedspaces,# of washroom,"Monthly Rent
(Per Bedspace)",Monthly rent (For entire Unit),"Tenant 
Demography",Bed 1,Bed 2,Bed 3,Bed 4,Furnished,Utilities,Move in Date,Payment terms,Available Tenancies,Media Link,Key Features
























































































































































































































































































































